                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.438,                  2.311,                 1.5261,                0.76808,                0.51468,                 0.6839,                0.36144,                 1.3616,                 2.2367,                 1.6064,               0.070417,               0.003287,               0.003287
                      1,                  1.474,                 1.7145,                 1.5134,                0.65767,                0.59122,                0.63007,                0.31218,                 1.6362,                 1.7603,                 1.8215,               0.040286,              0.0064893,              0.0064893
                      2,                 1.5277,                 1.7074,                 1.5679,                0.45449,                0.34797,                 0.3408,                0.14041,                 2.0345,                 2.4094,                 2.3122,               0.010023,              0.0095595,              0.0095595
                      3,                 1.6405,                 1.8204,                 1.6745,                0.30482,                0.32095,                0.23349,                0.08292,                 2.2894,                 2.9735,                 2.8346,               0.009406,               0.009406,               0.009406
                      4,                 1.6604,                 1.8159,                  1.706,                0.41774,                0.48649,                0.43566,                0.18173,                 2.0392,                 2.3046,                 2.3105,               0.009406,               0.009406,               0.009406
                      5,                 1.6469,                 1.7428,                 1.6946,                 0.5345,                0.37628,                0.42046,                0.17147,                 2.1302,                 2.1174,                 2.3716,               0.009208,               0.009208,               0.009208
                      6,                 1.6489,                 1.7313,                 1.6963,                0.44209,                0.45608,                0.39698,                0.14647,                 2.0797,                 2.0115,                 2.2555,                0.00901,                0.00901,                0.00901
                      7,                 1.6134,                 1.6687,                 1.6561,                0.55842,                0.51267,                0.51175,                0.22911,                 1.8979,                 1.8227,                 2.0492,               0.008812,               0.008812,               0.008812
                      8,                 1.6062,                 1.6338,                 1.6662,                0.61012,                0.53925,                0.58202,                0.26567,                 1.8386,                 1.6477,                 1.9864,               0.008614,               0.008614,               0.008614
                      9,                 1.5775,                 1.5839,                 1.6381,                 0.6064,                0.64541,                0.64605,                0.32276,                 1.7126,                 1.5731,                 1.8902,               0.008416,               0.008416,               0.008416
                     10,                 1.5655,                 1.5475,                 1.6554,                0.67732,                0.61149,                0.66645,                0.32228,                 1.7757,                 1.5269,                 1.9307,               0.008218,               0.008218,               0.008218
                     11,                 1.5478,                 1.5355,                  1.633,                0.46265,                0.53716,                0.47616,                0.21651,                 1.8588,                  1.705,                 1.9378,                0.00802,                0.00802,                0.00802
                     12,                 1.5259,                 1.4774,                 1.5977,                0.63811,                0.55068,                0.61612,                0.32922,                 1.7105,                  1.535,                 1.8515,               0.007822,               0.007822,               0.007822
                     13,                  1.503,                 1.4046,                 1.5622,                0.67399,                0.60067,                0.66517,                0.33945,                 1.6585,                 1.5257,                 1.8138,               0.007624,               0.007624,               0.007624
                     14,                 1.5121,                 1.3883,                 1.5808,                0.72983,                0.62838,                0.72627,                0.37152,                 1.6464,                 1.3413,                 1.7974,               0.007426,               0.007426,               0.007426
                     15,                 1.4859,                 1.3398,                 1.5589,                0.74579,                0.65417,                0.73456,                0.36073,                 1.7268,                 1.3209,                 1.8383,               0.007228,               0.007228,               0.007228
                     16,                  1.474,                 1.3203,                 1.5388,                 0.7092,                0.73649,                0.76283,                0.38876,                  1.596,                 1.3304,                 1.7698,                0.00703,                0.00703,                0.00703
                     17,                 1.4488,                 1.2945,                 1.5018,                0.68737,                0.57195,                0.63417,                 0.3115,                 1.7785,                 1.4946,                 1.9482,               0.006832,               0.006832,               0.006832
                     18,                 1.4395,                 1.2938,                 1.5266,                 0.6585,                0.66554,                0.67507,                0.34666,                 1.7148,                 1.3797,                 1.8573,               0.006634,               0.006634,               0.006634
                     19,                 1.4221,                 1.2591,                 1.5045,                0.68287,                0.65878,                0.71097,                0.36629,                 1.6955,                 1.3457,                   1.83,               0.006436,               0.006436,               0.006436
                     20,                 1.4366,                 1.2239,                  1.508,                0.67901,                0.72895,                0.76498,                0.39531,                 1.6616,                 1.2018,                 1.7795,               0.006238,               0.006238,               0.006238
                     21,                 1.3909,                 1.1932,                 1.4777,                0.72659,                0.65878,                0.73144,                0.39077,                 1.6182,                 1.2363,                 1.7944,                0.00604,                0.00604,                0.00604
                     22,                 1.3607,                 1.1464,                 1.4522,                0.66637,                0.78378,                0.76115,                0.39672,                 1.6176,                 1.1729,                 1.7606,               0.005842,               0.005842,               0.005842
                     23,                 1.3478,                 1.1774,                 1.4499,                0.76784,                0.68581,                0.77512,                0.40543,                 1.6224,                 1.1979,                 1.7555,               0.005644,               0.005644,               0.005644
                     24,                 1.3551,                 1.1356,                 1.4387,                 0.7665,                 0.7027,                0.77371,                0.41008,                 1.5807,                  1.141,                 1.7225,               0.005446,               0.005446,               0.005446
                     25,                 1.3357,                 1.0948,                 1.4357,                0.76449,                0.73476,                0.79638,                0.41585,                  1.592,                 1.0877,                  1.757,               0.005248,               0.005248,               0.005248
                     26,                  1.332,                 1.0888,                 1.4263,                0.73111,                0.71284,                0.77436,                0.41427,                 1.5818,                 1.1208,                 1.7646,                0.00505,                0.00505,                0.00505
                     27,                  1.314,                 1.0576,                 1.4153,                0.82366,                0.71622,                0.82539,                0.43304,                 1.6007,                  1.123,                 1.7389,               0.004852,               0.004852,               0.004852
                     28,                 1.2891,                 1.0316,                 1.3958,                0.72861,                0.76014,                0.80702,                 0.4257,                 1.6204,                  1.105,                 1.7651,               0.004654,               0.004654,               0.004654
                     29,                 1.2727,                 1.0057,                 1.3993,                0.75277,                0.76689,                0.82382,                0.42142,                  1.624,                 1.0797,                 1.7541,               0.004456,               0.004456,               0.004456
                     30,                 1.2464,                 1.0056,                 1.3717,                0.75153,                0.69595,                0.77584,                0.41502,                 1.5648,                 1.1331,                 1.7367,               0.004258,               0.004258,               0.004258
                     31,                  1.214,                0.97912,                 1.3549,                0.75648,                0.74662,                0.81081,                0.43764,                 1.6039,                 1.0567,                 1.7456,                0.00406,                0.00406,                0.00406
                     32,                 1.1939,                0.94884,                 1.3435,                0.81253,                0.70608,                0.81727,                0.43873,                 1.6048,                 1.0958,                 1.7454,               0.003862,               0.003862,               0.003862
                     33,                 1.1976,                0.95367,                  1.353,                0.79699,                0.78041,                0.82404,                0.45605,                   1.59,                0.97415,                 1.7421,               0.003664,               0.003664,               0.003664
                     34,                 1.1919,                0.91161,                  1.333,                0.77134,                0.76356,                0.82182,                0.44567,                 1.6019,                 1.0259,                 1.7532,               0.003466,               0.003466,               0.003466
                     35,                 1.1839,                0.90787,                 1.3329,                0.81458,                0.72297,                0.81789,                0.44101,                 1.5668,                 1.0159,                 1.7264,               0.003268,               0.003268,               0.003268
                     36,                 1.1756,                0.88969,                 1.3216,                0.76237,                0.76955,                0.81563,                0.43598,                 1.6139,                 1.0087,                 1.7658,                0.00307,                0.00307,                0.00307
                     37,                  1.158,                0.87861,                 1.3171,                0.80374,                 0.7471,                0.82778,                0.45786,                 1.6372,                0.94357,                 1.7741,               0.002872,               0.002872,               0.002872
                     38,                 1.1509,                0.86463,                 1.3121,                0.83465,                0.75035,                0.82706,                0.45924,                 1.5677,                0.99951,                 1.7318,               0.002674,               0.002674,               0.002674
                     39,                 1.1339,                0.85789,                 1.2911,                0.79912,                0.76606,                0.82937,                0.45753,                 1.6115,                0.98433,                 1.7926,               0.002476,               0.002476,               0.002476
                     40,                 1.1144,                0.82435,                 1.2749,                0.78991,                0.81081,                0.83354,                0.46405,                  1.607,                0.96571,                 1.7499,               0.002278,               0.002278,               0.002278
                     41,                 1.1063,                0.80217,                 1.2663,                  0.796,                0.82095,                0.86037,                0.47323,                  1.626,                0.95795,                 1.7943,                0.00208,                0.00208,                0.00208
                     42,                 1.0836,                0.78968,                 1.2512,                0.81369,                0.76689,                0.84332,                0.45885,                 1.6154,                0.92889,                 1.7845,               0.001882,               0.001882,               0.001882
                     43,                  1.069,                0.78162,                 1.2485,                0.81565,                0.75338,                0.83573,                0.45634,                  1.597,                0.96477,                  1.785,               0.001684,               0.001684,               0.001684
                     44,                 1.0746,                0.78857,                 1.2645,                0.78012,                0.79054,                0.83673,                0.45569,                 1.5658,                0.94965,                 1.7571,               0.001486,               0.001486,               0.001486
                     45,                 1.0666,                0.79477,                 1.2487,                 0.7909,                0.77947,                0.83687,                0.45561,                 1.5825,                0.98235,                 1.7541,               0.001288,               0.001288,               0.001288
                     46,                 1.0451,                0.77292,                 1.2283,                0.77915,                0.81046,                0.85348,                0.46735,                 1.5881,                0.95415,                 1.7613,                0.00109,                0.00109,                0.00109
                     47,                 1.0337,                0.74847,                 1.2384,                0.80858,                 0.7973,                0.87073,                0.48041,                 1.5679,                0.90717,                 1.7426,               0.000892,               0.000892,               0.000892
                     48,                 1.0409,                 0.7559,                 1.2331,                0.78376,                0.82041,                0.86797,                0.48487,                  1.571,                0.88413,                 1.7534,               0.000694,               0.000694,               0.000694
                     49,                0.99362,                 0.7274,                 1.2112,                0.80884,                 0.8148,                0.86359,                0.47953,                 1.5668,                0.90409,                 1.7539,               0.000496,               0.000496,               0.000496
