                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7182,                 1.2416,                 1.9088,                0.83159,                 0.8495,                 0.8956,                0.49799,                 1.5821,                0.88872,                  1.971,                0.00046,                0.00046,                0.00046
                      1,                  1.419,                 1.0763,                  1.642,                0.77628,                0.84946,                0.85181,                0.46549,                  1.474,                  1.013,                  1.994,             0.00092139,             0.00092139,             0.00092139
                      2,                 1.3974,                 1.0861,                 1.6173,                0.79017,                0.85036,                0.87029,                0.45875,                 1.5228,                  1.111,                 2.0383,              0.0013638,              0.0013638,              0.0013638
                      3,                  1.381,                 1.0789,                 1.6197,                0.76787,                0.74194,                0.78829,                 0.4131,                 1.6758,                 1.1392,                 2.1681,              0.0017871,              0.0017871,              0.0017871
                      4,                 1.3935,                 1.0601,                 1.6382,                0.77845,                0.75564,                0.80394,                0.39222,                 1.7254,                 1.6146,                 2.3301,              0.0018416,              0.0018416,              0.0018416
                      5,                 1.4141,                 1.0888,                  1.639,                0.68404,                0.77419,                0.76302,                0.40757,                 1.5274,                 1.5273,                 1.9953,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.3802,                 1.0314,                 1.6009,                0.76483,                0.78495,                0.77121,                0.36693,                 1.9312,                 1.2096,                 2.5722,               0.001802,               0.001802,               0.001802
                      7,                 1.3438,                 1.0651,                 1.5803,                0.82589,                0.80645,                0.82117,                0.46442,                 1.6038,                 1.0717,                 2.1246,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.3386,                 1.0138,                 1.5774,                0.86681,                 0.7957,                0.88537,                0.48569,                   1.58,                0.94425,                 2.0898,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.3066,                 1.0124,                 1.5488,                0.81511,                0.71107,                0.80886,                 0.4482,                 1.5381,                0.96588,                 2.0126,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.2881,                0.99018,                 1.5578,                 0.9098,                0.86766,                0.92285,                 0.5083,                 1.4734,                0.89606,                 2.0446,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.3182,                0.94578,                 1.5508,                0.89393,                0.81564,                0.88477,                0.49713,                  1.551,                0.97841,                 2.0954,               0.001604,               0.001604,               0.001604
                     12,                 1.3075,                0.91807,                 1.5117,                 0.7968,                0.83871,                0.87248,                0.45482,                 1.6272,                 1.0586,                 2.0692,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.2618,                0.97913,                 1.5056,                 0.8599,                0.91398,                0.91586,                0.51462,                 1.4643,                0.89351,                 2.0163,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.2543,                0.92057,                 1.4937,                0.87576,                0.86022,                0.92505,                0.51242,                 1.4974,                0.91658,                 1.9913,              0.0014852,              0.0014852,              0.0014852
