                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5442,                 2.5551,                 1.7875,                0.80626,                0.35225,                0.38032,                0.21797,                 1.3027,                 3.9416,                 1.7981,             0.00038341,             0.00038341,             0.00038341
                      1,                  1.325,                 1.7515,                 1.6135,                0.87837,                0.43956,                0.45261,                0.25822,                 1.3569,                 3.0857,                 1.9224,             0.00076798,             0.00076798,             0.00076798
                      2,                 1.3244,                 1.6329,                 1.5808,                0.93016,                0.42391,                0.48781,                0.27628,                 1.4089,                   2.46,                 1.9074,              0.0011367,              0.0011367,              0.0011367
                      3,                  1.284,                 1.5408,                 1.5626,                0.92995,                0.39674,                0.45718,                0.23385,                 1.4836,                 1.8718,                 2.0134,              0.0014896,              0.0014896,              0.0014896
                      4,                 1.3036,                 1.4686,                 1.5806,                0.86963,                0.31522,                0.36213,                0.18928,                 1.6589,                  2.056,                 2.1472,               0.001535,               0.001535,               0.001535
                      5,                 1.3366,                 1.4691,                 1.6002,                0.85976,                 0.3625,                0.39475,                0.18247,                  1.729,                 1.8529,                 2.2458,               0.001535,               0.001535,               0.001535
                      6,                 1.3421,                 1.3893,                 1.5713,                0.89753,                0.40217,                0.42439,                0.22799,                  1.606,                 1.7967,                 2.1577,               0.001502,               0.001502,               0.001502
                      7,                 1.3189,                 1.3688,                 1.5668,                0.84564,                0.41304,                0.58371,                0.36181,                 1.5339,                 1.5166,                 2.0548,               0.001469,               0.001469,               0.001469
                      8,                 1.2814,                 1.2576,                 1.5335,                0.93629,                0.39674,                  0.484,                0.25074,                 1.5438,                 1.4258,                 2.1145,               0.001436,               0.001436,               0.001436
                      9,                 1.2822,                 1.2499,                 1.5382,                0.92627,                0.40846,                0.44784,                0.26765,                 1.3719,                 1.3759,                 1.8357,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.2197,                 1.2019,                 1.5155,                0.94228,                0.41646,                0.47648,                0.29472,                 1.3891,                 1.3278,                 1.8864,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.2664,                 1.1332,                 1.5164,                0.91246,                0.42935,                0.47981,                0.28118,                 1.4162,                   1.23,                 1.8945,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.2036,                 1.0757,                 1.4504,                0.89314,                0.43478,                0.47633,                0.27002,                 1.4586,                  1.237,                 1.9229,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.2583,                 1.1147,                 1.4914,                0.93979,                0.45652,                0.51009,                0.29672,                 1.3298,                 1.0921,                 1.8363,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.1821,                 1.0406,                 1.4446,                0.97334,                0.39674,                0.48186,                0.27713,                 1.4332,                 1.1743,                 1.9118,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.1559,                 1.0466,                 1.4342,                0.92042,                 0.4307,                0.45436,                0.24551,                  1.526,                 1.1961,                 2.0011,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.1342,                0.95696,                 1.4073,                0.94225,                 0.4162,                0.50616,                  0.294,                 1.5365,                 1.0578,                 2.0311,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.1635,                0.98806,                 1.4167,                0.95029,                0.42391,                0.51639,                0.31494,                 1.3282,                 1.0406,                 1.8278,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.1789,                0.99976,                 1.4522,                0.94807,                0.42202,                0.50036,                0.30185,                 1.4666,                 1.0321,                 1.9485,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.1243,                0.92048,                 1.3899,                0.94208,                0.42935,                0.52207,                0.31746,                 1.4702,                 1.0312,                 1.9259,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.1469,                0.97003,                 1.4248,                0.89325,                0.42935,                0.45203,                0.24165,                 1.6155,                 1.1623,                 2.0487,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.0862,                0.93305,                 1.3739,                0.92255,                0.46196,                0.47157,                0.27171,                 1.3812,                 1.0258,                 1.8651,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.1028,                 0.9177,                 1.3859,                0.91729,                0.42935,                0.47733,                0.29139,                 1.3541,                0.99487,                  1.833,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.0674,                0.85048,                 1.3466,                0.93991,                0.42935,                0.47884,                0.28278,                  1.356,                 0.9683,                 1.8417,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.0704,                0.89721,                 1.3734,                0.93477,                0.45109,                0.48492,                 0.2954,                  1.355,                0.96991,                 1.8602,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.0711,                0.86104,                 1.3834,                0.95982,                0.41848,                0.47417,                0.27078,                 1.4999,                0.99847,                 1.9918,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.0947,                0.89677,                  1.384,                0.95485,                0.43806,                 0.5212,                0.30019,                 1.4493,                 1.0179,                 1.9417,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.0256,                0.84757,                 1.3375,                0.95101,                0.45031,                0.49203,                0.29332,                  1.438,                0.97088,                 1.9712,             0.00080883,             0.00080883,             0.00080883
